parts: ["NOT dq", "dr"]
parts: ["kg OR kf", "kh"]
parts: ["ep OR eo", "eq"]
parts: ["44430", "b"]
parts: ["NOT gs", "gt"]
parts: ["dd OR do", "dp"]
parts: ["eg AND ei", "ej"]
parts: ["y AND ae", "ag"]
parts: ["jx AND jz", "ka"]
parts: ["lf RSHIFT 2", "lg"]
parts: ["z AND aa", "ac"]
parts: ["dy AND ej", "el"]
parts: ["bj OR bi", "bk"]
parts: ["kk RSHIFT 3", "km"]
parts: ["NOT cn", "co"]
parts: ["gn AND gp", "gq"]
parts: ["cq AND cs", "ct"]
parts: ["eo LSHIFT 15", "es"]
parts: ["lg OR lm", "ln"]
parts: ["dy OR ej", "ek"]
parts: ["NOT di", "dj"]
parts: ["1 AND fi", "fj"]
parts: ["kf LSHIFT 15", "kj"]
parts: ["NOT jy", "jz"]
parts: ["NOT ft", "fu"]
parts: ["fs AND fu", "fv"]
parts: ["NOT hr", "hs"]
parts: ["ck OR cl", "cm"]
parts: ["jp RSHIFT 5", "js"]
parts: ["iv OR jb", "jc"]
parts: ["is OR it", "iu"]
parts: ["ld OR le", "lf"]
parts: ["NOT fc", "fd"]
parts: ["NOT dm", "dn"]
parts: ["bn OR by", "bz"]
parts: ["aj AND al", "am"]
parts: ["cd LSHIFT 15", "ch"]
parts: ["jp AND ka", "kc"]
parts: ["ci OR ct", "cu"]
parts: ["gv AND gx", "gy"]
parts: ["de AND dk", "dm"]
parts: ["x RSHIFT 5", "aa"]
parts: ["et RSHIFT 2", "eu"]
parts: ["x RSHIFT 1", "aq"]
parts: ["ia OR ig", "ih"]
parts: ["bk LSHIFT 1", "ce"]
parts: ["y OR ae", "af"]
parts: ["NOT ca", "cb"]
parts: ["e AND f", "h"]
parts: ["ia AND ig", "ii"]
parts: ["ck AND cl", "cn"]
parts: ["NOT jh", "ji"]
parts: ["z OR aa", "ab"]
parts: ["1 AND en", "eo"]
parts: ["ib AND ic", "ie"]
parts: ["NOT eh", "ei"]
parts: ["iy AND ja", "jb"]
parts: ["NOT bb", "bc"]
parts: ["ha OR gz", "hb"]
parts: ["1 AND cx", "cy"]
parts: ["NOT ax", "ay"]
parts: ["ev OR ew", "ex"]
parts: ["bn RSHIFT 2", "bo"]
parts: ["er OR es", "et"]
parts: ["eu OR fa", "fb"]
parts: ["jp OR ka", "kb"]
parts: ["ea AND eb", "ed"]
parts: ["k AND m", "n"]
parts: ["et RSHIFT 3", "ev"]
parts: ["et RSHIFT 5", "ew"]
parts: ["hz RSHIFT 1", "is"]
parts: ["ki OR kj", "kk"]
parts: ["NOT h", "i"]
parts: ["lv LSHIFT 15", "lz"]
parts: ["as RSHIFT 1", "bl"]
parts: ["hu LSHIFT 15", "hy"]
parts: ["iw AND ix", "iz"]
parts: ["lf RSHIFT 1", "ly"]
parts: ["fp OR fv", "fw"]
parts: ["1 AND am", "an"]
parts: ["ap LSHIFT 1", "bj"]
parts: ["u LSHIFT 1", "ao"]
parts: ["b RSHIFT 5", "f"]
parts: ["jq AND jw", "jy"]
parts: ["iu RSHIFT 3", "iw"]
parts: ["ih AND ij", "ik"]
parts: ["NOT iz", "ja"]
parts: ["de OR dk", "dl"]
parts: ["iu OR jf", "jg"]
parts: ["as AND bd", "bf"]
parts: ["b RSHIFT 3", "e"]
parts: ["jq OR jw", "jx"]
parts: ["iv AND jb", "jd"]
parts: ["cg OR ch", "ci"]
parts: ["iu AND jf", "jh"]
parts: ["lx", "a"]
parts: ["1 AND cc", "cd"]
parts: ["ly OR lz", "ma"]
parts: ["NOT el", "em"]
parts: ["1 AND bh", "bi"]
parts: ["fb AND fd", "fe"]
parts: ["lf OR lq", "lr"]
parts: ["bn RSHIFT 3", "bp"]
parts: ["bn AND by", "ca"]
parts: ["af AND ah", "ai"]
parts: ["cf LSHIFT 1", "cz"]
parts: ["dw OR dx", "dy"]
parts: ["gj AND gu", "gw"]
parts: ["jg AND ji", "jj"]
parts: ["jr OR js", "jt"]
parts: ["bl OR bm", "bn"]
parts: ["gj RSHIFT 2", "gk"]
parts: ["cj OR cp", "cq"]
parts: ["gj OR gu", "gv"]
parts: ["b OR n", "o"]
parts: ["o AND q", "r"]
parts: ["bi LSHIFT 15", "bm"]
parts: ["dy RSHIFT 1", "er"]
parts: ["cu AND cw", "cx"]
parts: ["iw OR ix", "iy"]
parts: ["hc OR hd", "he"]
parts: ["0", "c"]
parts: ["db OR dc", "dd"]
parts: ["kk RSHIFT 2", "kl"]
parts: ["eq LSHIFT 1", "fk"]
parts: ["dz OR ef", "eg"]
parts: ["NOT ed", "ee"]
parts: ["lw OR lv", "lx"]
